time_s,Ch1,Ch2
0,0,0
0.000125,0.1354675293,0.191192627
0.00025,0.2549438477,0.2946472168
0.000375,0.3442687988,0.262878418
0.0005,0.3928833008,0.1104125977
0.000625,0.3950500488,-0.09268188477
0.00075,0.3504943848,-0.2532653809
0.000875,0.2644958496,-0.2976074219
0.001,0.1472167969,-0.2053527832
0.001125,0.01254272461,-0.0188293457
0.00125,-0.1235961914,0.1763000488
0.001375,-0.2451477051,0.2905578613
0.0015,-0.3377075195,0.2714233398
0.001625,-0.3903503418,0.1277160645
0.00175,-0.3968200684,-0.07458496094
0.001875,-0.3563842773,-0.2426757812
0.002,-0.2738037109,-0.2993774414
0.002125,-0.1588439941,-0.2186584473
0.00225,-0.02508544922,-0.03759765625
0.002375,0.1115722656,0.160736084
0.0025,0.2350769043,0.2852783203
0.002625,0.3308105469,0.2789001465
0.00275,0.3874206543,0.1445007324
0.002875,0.3981933594,-0.05618286133
0.003,0.361907959,-0.2311401367
0.003125,0.2828063965,-0.299987793
0.00325,0.1702880859,-0.2311401367
0.003375,0.03762817383,-0.05618286133
0.0035,-0.09945678711,0.1445007324
0.003625,-0.224822998,0.2789001465
0.00375,-0.3235778809,0.2852783203
0.003875,-0.3840942383,0.160736084
0.004,-0.3991699219,-0.03759765625
0.004125,-0.3670654297,-0.2186584473
0.00425,-0.2915649414,-0.2993774414
0.004375,-0.1815795898,-0.2426757812
0.0045,-0.05010986328,-0.07458496094
0.004625,0.08724975586,0.1277160645
0.00475,0.2142944336,0.2714233398
0.004875,0.3160400391,0.2905578613
0.005,0.3804016113,0.1763000488
0.005125,0.3997802734,-0.0188293457
0.00525,0.371887207,-0.2053527832
0.005375,0.3000183105,-0.2976074219
0.0055,0.1926879883,-0.2532653809
0.005625,0.06256103516,-0.09268188477
0.00575,-0.0749206543,0.1104125977
0.005875,-0.2035827637,0.262878418
0.006,-0.3081665039,0.2946472168
0.006125,-0.3763122559,0.191192627
0.00625,-0.3999633789,0
0.006375,-0.3763122559,-0.191192627
0.0065,-0.3081665039,-0.2946472168
0.006625,-0.2035827637,-0.262878418
0.00675,-0.0749206543,-0.1104125977
0.006875,0.06256103516,0.09268188477
0.007,0.1926879883,0.2532653809
0.007125,0.3000183105,0.2976074219
0.00725,0.371887207,0.2053527832
0.007375,0.3997802734,0.0188293457
0.0075,0.3804016113,-0.1763000488
0.007625,0.3160400391,-0.2905578613
0.00775,0.2142944336,-0.2714233398
0.007875,0.08724975586,-0.1277160645
0.008,-0.05010986328,0.07458496094
0.008125,-0.1815795898,0.2426757812
0.00825,-0.2915649414,0.2993774414
0.008375,-0.3670654297,0.2186584473
0.0085,-0.3991699219,0.03759765625
0.008625,-0.3840942383,-0.160736084
0.00875,-0.3235778809,-0.2852783203
0.008875,-0.224822998,-0.2789001465
0.009,-0.09945678711,-0.1445007324
0.009125,0.03762817383,0.05618286133
0.00925,0.1702880859,0.2311401367
0.009375,0.2828063965,0.299987793
0.0095,0.361907959,0.2311401367
0.009625,0.3981933594,0.05618286133
0.00975,0.3874206543,-0.1445007324
0.009875,0.3308105469,-0.2789001465
0.01,0.2350769043,-0.2852783203
0.010125,0.1115722656,-0.160736084
0.01025,-0.02508544922,0.03759765625
0.010375,-0.1588439941,0.2186584473
0.0105,-0.2738037109,0.2993774414
0.010625,-0.3563842773,0.2426757812
0.01075,-0.3968200684,0.07458496094
0.010875,-0.3903503418,-0.1277160645
0.011,-0.3377075195,-0.2714233398
0.011125,-0.2451477051,-0.2905578613
0.01125,-0.1235961914,-0.1763000488
0.011375,0.01254272461,0.0188293457
0.0115,0.1472167969,0.2053527832
0.011625,0.2644958496,0.2976074219
0.01175,0.3504943848,0.2532653809
0.011875,0.3950500488,0.09268188477
0.012,0.3928833008,-0.1104125977
0.012125,0.3442687988,-0.262878418
0.01225,0.2549438477,-0.2946472168
0.012375,0.1354675293,-0.191192627
0.0125,0,0
0.012625,-0.1354675293,0.191192627
0.01275,-0.2549438477,0.2946472168
0.012875,-0.3442687988,0.262878418
0.013,-0.3928833008,0.1104125977
0.013125,-0.3950500488,-0.09268188477
0.01325,-0.3504943848,-0.2532653809
0.013375,-0.2644958496,-0.2976074219
0.0135,-0.1472167969,-0.2053527832
0.013625,-0.01254272461,-0.0188293457
0.01375,0.1235961914,0.1763000488
0.013875,0.2451477051,0.2905578613
0.014,0.3377075195,0.2714233398
0.014125,0.3903503418,0.1277160645
0.01425,0.3968200684,-0.07458496094
0.014375,0.3563842773,-0.2426757812
0.0145,0.2738037109,-0.2993774414
0.014625,0.1588439941,-0.2186584473
0.01475,0.02508544922,-0.03759765625
0.014875,-0.1115722656,0.160736084
0.015,-0.2350769043,0.2852783203
0.015125,-0.3308105469,0.2789001465
0.01525,-0.3874206543,0.1445007324
0.015375,-0.3981933594,-0.05618286133
0.0155,-0.361907959,-0.2311401367
0.015625,-0.2828063965,-0.299987793
0.01575,-0.1702880859,-0.2311401367
0.015875,-0.03762817383,-0.05618286133
0.016,0.09945678711,0.1445007324
0.016125,0.224822998,0.2789001465
0.01625,0.3235778809,0.2852783203
0.016375,0.3840942383,0.160736084
0.0165,0.3991699219,-0.03759765625
0.016625,0.3670654297,-0.2186584473
0.01675,0.2915649414,-0.2993774414
0.016875,0.1815795898,-0.2426757812
0.017,0.05010986328,-0.07458496094
0.017125,-0.08724975586,0.1277160645
0.01725,-0.2142944336,0.2714233398
0.017375,-0.3160400391,0.2905578613
0.0175,-0.3804016113,0.1763000488
0.017625,-0.3997802734,-0.0188293457
0.01775,-0.371887207,-0.2053527832
0.017875,-0.3000183105,-0.2976074219
0.018,-0.1926879883,-0.2532653809
0.018125,-0.06256103516,-0.09268188477
0.01825,0.0749206543,0.1104125977
0.018375,0.2035827637,0.262878418
0.0185,0.3081665039,0.2946472168
0.018625,0.3763122559,0.191192627
0.01875,0.3999633789,0
0.018875,0.3763122559,-0.191192627
0.019,0.3081665039,-0.2946472168
0.019125,0.2035827637,-0.262878418
0.01925,0.0749206543,-0.1104125977
0.019375,-0.06256103516,0.09268188477
0.0195,-0.1926879883,0.2532653809
0.019625,-0.3000183105,0.2976074219
0.01975,-0.371887207,0.2053527832
0.019875,-0.3997802734,0.0188293457
0.02,-0.3804016113,-0.1763000488
