time_s,Vibration [a.u.],Tacho_pulse
0,0.01382336768,0
0.0002,0.06427970056,0
0.0004,0.07603229565,0
0.0006,0.04205337837,0
0.0008,0.1617039512,0
0.001,0.174580161,0
0.0012,0.1663882045,0
0.0014,0.2421382718,0
0.0016,0.2643701812,0
0.0018,0.2922934354,0
0.002,0.3122337178,0
0.0022,0.3633427744,0
0.0024,0.3421833245,0
0.0026,0.3950634016,0
0.0028,0.4119859081,0
0.003,0.4846497085,0
0.0032,0.4914262064,0
0.0034,0.5069790555,0
0.0036,0.5159220826,0
0.0038,0.565095779,0
0.004,0.6035413419,0
0.0042,0.6196543928,0
0.0044,0.7095184736,0
0.0046,0.7247011281,0
0.0048,0.602245369,0
0.005,0.6609595912,0
0.0052,0.7549115126,0
0.0054,0.7699369945,0
0.0056,0.8198188497,0
0.0058,0.8439276562,0
0.006,0.9434104082,0
0.0062,0.8371663211,0
0.0064,0.8889697413,0
0.0066,1.007676881,0
0.0068,0.9731808032,0
0.007,0.9946263099,0
0.0072,0.9677694059,0
0.0074,0.942058247,0
0.0076,1.033748609,0
0.0078,1.049888543,0
0.008,1.014313642,0
0.0082,1.053353344,0
0.0084,1.094464024,0
0.0086,1.075602056,0
0.0088,1.124885556,0
0.009,1.147433274,0
0.0092,1.159204436,0
0.0094,1.151062447,0
0.0096,1.207960504,0
0.0098,1.232114907,0
0.01,1.220919417,0
0.0102,1.186332153,0
0.0104,1.258661556,0
0.0106,1.219030374,0
0.0108,1.283306082,0
0.011,1.213680354,0
0.0112,1.300905153,0
0.0114,1.270663436,0
0.0116,1.228023458,0
0.0118,1.271296389,0
0.012,1.29127106,0
0.0122,1.304653537,0
0.0124,1.25847478,0
0.0126,1.256879029,0
0.0128,1.311966422,0
0.013,1.287526312,0
0.0132,1.317241152,0
0.0134,1.339245398,0
0.0136,1.243384017,0
0.0138,1.319417736,0
0.014,1.357579631,0
0.0142,1.295498521,0
0.0144,1.273237026,0
0.0146,1.333503816,0
0.0148,1.310781463,0
0.015,1.333204563,0
0.0152,1.279793711,0
0.0154,1.230081865,0
0.0156,1.280237592,0
0.0158,1.261631807,0
0.016,1.304860877,0
0.0162,1.275545175,0
0.0164,1.196099884,0
0.0166,1.206656724,0
0.0168,1.282553158,0
0.017,1.266753254,0
0.0172,1.205950612,0
0.0174,1.223166809,0
0.0176,1.232345066,0
0.0178,1.224250957,0
0.018,1.231250877,0
0.0182,1.196855301,0
0.0184,1.17292031,0
0.0186,1.156214618,0
0.0188,1.198405554,0
0.019,1.055515863,0
0.0192,1.129159581,0
0.0194,1.124977778,0
0.0196,1.055406621,0
0.0198,1.114321301,0
0.02,1.063385529,0
0.0202,1.112216777,0
0.0204,1.060845973,0
0.0206,1.080669033,0
0.0208,1.090586444,0
0.021,1.044990037,0
0.0212,0.9824081479,0
0.0214,0.9445658054,0
0.0216,1.06292611,0
0.0218,0.9759548855,0
0.022,0.9404561889,0
0.0222,0.9613501694,0
0.0224,0.9355056481,0
0.0226,0.9648430737,0
0.0228,0.9197345146,0
0.023,0.9065834475,0
0.0232,0.8651534576,0
0.0234,0.9002803622,0
0.0236,0.8279721361,0
0.0238,0.8838697405,0
0.024,0.9061868706,0
0.0242,0.7723342759,0
0.0244,0.7228709514,0
0.0246,0.8345082626,0
0.0248,0.9001847482,0
0.025,0.7467980429,0
0.0252,0.7255112302,0
0.0254,0.7879466016,0
0.0256,0.7197590498,0
0.0258,0.7223043589,0
0.026,0.7179412315,0
0.0262,0.7426349223,0
0.0264,0.6948048566,0
0.0266,0.7119720022,0
0.0268,0.6838167178,0
0.027,0.6472977566,0
0.0272,0.6586864426,0
0.0274,0.6240494608,0
0.0276,0.6531053647,0
0.0278,0.5988646792,0
0.028,0.5912748274,0
0.0282,0.6846381127,0
0.0284,0.615799718,0
0.0286,0.6075371028,0
0.0288,0.6221192316,0
0.029,0.5769860314,0
0.0292,0.5770384454,0
0.0294,0.5957410581,0
0.0296,0.5827810084,0
0.0298,0.5180537442,0
0.03,0.5908901292,0
0.0302,0.5272566697,0
0.0304,0.5021323029,0
0.0306,0.5020381991,0
0.0308,0.5162937585,0
0.031,0.5910385599,0
0.0312,0.4731243838,0
0.0314,0.5209118234,0
0.0316,0.4235176146,0
0.0318,0.503643426,0
0.032,0.5345126234,0
0.0322,0.4840300513,0
0.0324,0.4634259463,0
0.0326,0.4930950699,0
0.0328,0.5071998997,0
0.033,0.5012176694,0
0.0332,0.5491596464,0
0.0334,0.4743218117,0
0.0336,0.4380513963,0
0.0338,0.45259264,0
