time_s,Vibration [a.u.],RPM [rpm]
0,0.007562135272,600
0.0002,0.01050503716,600.09
0.0004,0.04629227087,600.18
0.0006,-0.003479027667,600.27
0.0008,0.1974780118,600.36
0.001,0.202491813,600.45
0.0012,0.1748494204,600.54
0.0014,0.2498458111,600.63
0.0016,0.2610357122,600.72
0.0018,0.2583752221,600.81
0.002,0.3501995262,600.9
0.0022,0.329051993,600.99
0.0024,0.3584885318,601.08
0.0026,0.3698939293,601.17
0.0028,0.4494690035,601.26
0.003,0.4567279379,601.35
0.0032,0.5116488706,601.44
0.0034,0.4943898976,601.53
0.0036,0.552271535,601.62
0.0038,0.5396925069,601.71
0.004,0.6368742536,601.8
0.0042,0.6381999125,601.89
0.0044,0.6709787613,601.98
0.0046,0.700852312,602.07
0.0048,0.6702615682,602.16
0.005,0.7678473609,602.25
0.0052,0.8441705091,602.34
0.0054,0.7212869108,602.43
0.0056,0.7420966711,602.52
0.0058,0.7750415224,602.61
0.006,0.8923552137,602.7
0.0062,0.8867957779,602.79
0.0064,0.9472076392,602.88
0.0066,0.9548632515,602.97
0.0068,0.9557355558,603.06
0.007,0.9794653008,603.15
0.0072,0.9815392408,603.24
0.0074,1.042719662,603.33
0.0076,0.9818613807,603.42
0.0078,1.028653627,603.51
0.008,1.073125278,603.6
0.0082,1.152739244,603.69
0.0084,1.066767207,603.78
0.0086,1.070229703,603.87
0.0088,1.106284866,603.96
0.009,1.182384841,604.05
0.0092,1.148380766,604.14
0.0094,1.224287994,604.23
0.0096,1.109309401,604.32
0.0098,1.241609155,604.41
0.01,1.249480134,604.5
0.0102,1.162314735,604.59
0.0104,1.23553874,604.68
0.0106,1.28771828,604.77
0.0108,1.251656419,604.86
0.011,1.296539907,604.95
0.0112,1.359321941,605.04
0.0114,1.282423265,605.13
0.0116,1.266758121,605.22
0.0118,1.253010282,605.31
0.012,1.315029553,605.4
0.0122,1.28587268,605.49
0.0124,1.290612451,605.58
0.0126,1.296963559,605.67
0.0128,1.329977827,605.76
0.013,1.263542712,605.85
0.0132,1.246625868,605.94
0.0134,1.211509549,606.03
0.0136,1.357282348,606.12
0.0138,1.312193946,606.21
0.014,1.368998529,606.3
0.0142,1.307041342,606.39
0.0144,1.275983391,606.48
0.0146,1.322531235,606.57
